season,name,position,value,adjusted_points,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,won,month_of_match,time_of_match,win_expectation,mean_points,mean_creativity,mean_threat,mean_influence,mean_bps,mean_goals,mean_assists,mean_conceded,shift_opponent,shift_win_expectation,shift_month_of_match,shift_time_of_match,shift_was_home,shift_mean_points,shift_mean_creativity,shift_mean_threat,shift_mean_influence,shift_mean_bps,shift_mean_goals,shift_mean_assists,shift_mean_conceded,round,date_of_match,shift_points
2020-21,Ezgjan Alioski,DEF,44,4,0,0,0,0,0,0,0,1,30.7,4.0,23.8,26,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,-0.6666666666666666,5.066666666666667,0.3333333333333333,7.066666666666666,7.0,0.0,0.0,1.0,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Luke Ayling,DEF,44,4,0,0,0,0,0,0,0,1,34.4,4.0,28.4,30,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,-1.0,13.966666666666669,14.666666666666666,25.666666666666668,12.666666666666666,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Liam Cooper,DEF,43,5,0,0,0,0,0,0,0,1,0.3,4.0,25.6,32,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,-0.3333333333333333,0.46666666666666673,23.0,26.2,19.0,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Andros Townsend,MID,56,0,0,0,1,0,0,0,0,0,14.6,7.0,15.0,12,45,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,0.0,1.6666666666666667,4.666666666666667,3.733333333333333,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Raphael Dias Belloli,MID,53,4,1,0,0,0,0,0,0,1,23.6,61.0,13.2,21,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,7.0,20.333333333333332,42.333333333333336,47.06666666666666,26.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Michy Batshuayi,FWD,57,0,0,0,0,0,0,0,0,0,10.6,2.0,4.2,3,25,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,1.6666666666666667,9.233333333333334,14.666666666666666,13.933333333333332,9.666666666666666,0.3333333333333333,0.0,0.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Eberechi Eze,MID,58,0,0,0,2,0,0,0,0,0,42.1,22.0,11.6,11,90,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,4.666666666666667,24.433333333333334,8.333333333333334,26.86666666666667,25.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Scott Dann,DEF,43,-1,0,0,2,0,0,0,0,0,0.4,4.0,7.4,9,90,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,1.0,0.5333333333333333,2.0,18.933333333333334,19.0,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Nathaniel Clyne,DEF,45,-1,0,0,2,0,0,0,0,0,0.7,0.0,0.8,7,90,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,1.0,1.4666666666666666,1.6666666666666667,12.266666666666666,14.0,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Illan Meslier,GK,47,8,0,0,0,3,0,0,0,1,0.0,0.0,23.4,34,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,1.0,0.0,0.0,31.53333333333333,19.0,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Stuart Dallas,DEF,48,10,1,0,0,0,0,0,0,1,27.6,15.0,34.6,34,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,1.3333333333333333,17.233333333333334,17.0,18.133333333333333,12.0,0.3333333333333333,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Vicente Guaita,GK,48,0,0,0,2,5,0,0,0,0,0.0,0.0,37.6,18,90,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,2.3333333333333335,0.0,0.0,28.933333333333334,21.666666666666668,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Luka Milivojevic,MID,56,-1,0,0,2,0,0,0,0,0,4.1,0.0,1.0,5,90,1,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,0.0,2.4999999999999996,3.6666666666666665,21.066666666666666,10.666666666666666,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Tyrick Mitchell,DEF,39,-1,0,0,2,0,0,0,0,0,1.9,0.0,15.0,10,90,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,1.0,9.833333333333334,0.6666666666666666,17.26666666666667,17.666666666666668,0.0,0.0,2.3333333333333335,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Jordan Ayew,FWD,56,0,0,0,2,0,0,0,0,0,15.2,43.0,6.0,2,75,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,1.6666666666666667,20.666666666666668,8.666666666666666,18.2,11.333333333333334,0.0,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Jamie Shackleton,MID,48,0,0,0,0,0,0,0,0,0,0.3,0.0,0.0,3,2,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,0.0,1.1666666666666667,1.3333333333333333,5.066666666666666,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Patrick van Aanholt,DEF,54,0,0,0,1,0,0,0,0,0,0.9,0.0,1.0,4,45,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,2.0,14.966666666666667,5.666666666666667,15.133333333333335,18.0,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Pascal Struijk,DEF,39,4,0,0,0,0,0,0,0,1,0.3,48.0,11.4,17,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,-0.3333333333333333,0.4666666666666666,5.666666666666667,23.666666666666668,16.333333333333332,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Patrick Bamford,FWD,67,4,0,1,0,0,0,0,0,1,2.0,63.0,39.4,27,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,5.333333333333333,22.966666666666665,35.333333333333336,32.06666666666667,25.0,0.3333333333333333,1.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Mateusz Klich,MID,53,1,0,0,0,0,0,0,0,1,30.8,0.0,13.4,14,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,0.0,6.566666666666666,12.0,5.133333333333334,4.666666666666667,0.0,0.0,1.0,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Jack Harrison,MID,54,7,0,1,0,0,0,0,0,1,13.5,25.0,38.2,32,90,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,3.6666666666666665,10.0,25.333333333333332,31.933333333333334,17.333333333333332,0.6666666666666666,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Kalvin Phillips,MID,49,1,0,0,0,0,0,0,0,1,43.1,0.0,19.2,19,87,0,0,Leeds,Crystal Palace,1,1,2,21:00,2.3333333333333335,0.0,24.833333333333332,0.0,11.533333333333333,12.666666666666666,0.0,0.0,1.3333333333333333,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Christian Benteke,FWD,55,0,0,0,0,0,0,0,0,0,0.4,17.0,5.4,3,14,0,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,1.0,11.100000000000001,19.666666666666668,8.666666666666666,7.0,0.0,0.3333333333333333,1.0,,,,,,,,,,,,,,23,2021-02-08,
2020-21,Gary Cahill,DEF,45,-2,0,0,2,0,0,0,0,0,0.4,4.0,18.2,4,90,1,0,Crystal Palace,Leeds,0,-1,2,21:00,0.42857142857142855,1.0,0.46666666666666673,7.666666666666667,28.333333333333332,15.333333333333334,0.3333333333333333,0.0,2.6666666666666665,,,,,,,,,,,,,,23,2021-02-08,
