season,name,position,value,adjusted_points,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,won,month_of_match,time_of_match,win_expectation,mean_points,mean_creativity,mean_threat,mean_influence,mean_bps,mean_goals,mean_assists,mean_conceded,shift_opponent,shift_win_expectation,shift_month_of_match,shift_time_of_match,shift_was_home,shift_mean_points,shift_mean_creativity,shift_mean_threat,shift_mean_influence,shift_mean_bps,shift_mean_goals,shift_mean_assists,shift_mean_conceded,round,date_of_match,shift_points
2019-20,Yves Bissouma,MID,50,5,0,1,1,0,0,0,0,0,1.3,7,39.2,22,72,0,0,Brighton,Burnley,0,1,7,16:00,0.79,-0.3333333333333333,1.9333333333333336,2.0,5.733333333333334,7.0,0.0,0.0,1.6666666666666667,,,,,,,,,,,,,,47,2020-07-26,
2019-20,Federico Fernández,DEF,46,-2,0,0,3,0,0,0,0,0,0.0,7,24.6,9,90,1,0,Newcastle,Liverpool,1,-1,7,16:00,0.18133333333333335,1.0,3.5,1.3333333333333333,24.066666666666666,17.333333333333332,0.0,0.3333333333333333,1.6666666666666667,,,,,,,,,,,,,,47,2020-07-26,
2019-20,Fernando Luiz Rosa,MID,51,0,0,0,0,0,0,0,0,0,2.2,11,6.2,9,45,0,0,Man City,Norwich,1,1,7,16:00,24.074074074074073,-0.3333333333333333,8.466666666666667,3.3333333333333335,11.533333333333333,11.0,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,47,2020-07-26,
2019-20,Francisco Femenía Far,DEF,42,-1,0,0,3,0,0,0,0,0,11.9,2,3.6,4,45,0,0,Watford,Arsenal,0,-1,7,16:00,0.5,0.0,18.233333333333334,4.666666666666667,16.666666666666668,14.666666666666666,0.0,0.3333333333333333,2.6666666666666665,,,,,,,,,,,,,,47,2020-07-26,
2019-20,Frédéric Guilbert,DEF,43,6,0,0,0,0,0,0,0,1,14.7,2,7.0,19,75,0,0,Aston Villa,West Ham,0,0,7,16:00,1.3043478260869565,0.0,5.5,9.0,17.866666666666664,12.333333333333334,0.0,0.0,2.0,,,,,,,,,,,,,,47,2020-07-26,
2019-20,Gabriel Fernando de Jesus,FWD,99,6,0,1,0,0,0,0,0,1,39.8,91,50.4,46,90,0,0,Man City,Norwich,1,1,7,16:00,24.074074074074073,6.0,17.633333333333333,72.66666666666667,36.13333333333333,27.666666666666668,0.6666666666666666,0.6666666666666666,0.0,,,,,,,,,,,,,,47,2020-07-26,
2019-20,George Baldock,DEF,50,-1,0,0,3,0,0,0,0,0,1.2,0,15.8,9,90,0,0,Sheffield United,Southampton,0,-1,7,16:00,0.6515151515151515,0.6666666666666666,20.833333333333332,2.0,14.066666666666668,14.333333333333334,0.0,0.0,1.0,,,,,,,,,,,,,,47,2020-07-26,
2019-20,George Hirst,FWD,45,0,0,0,1,0,0,0,0,0,0.3,17,3.2,2,2,0,0,Leicester,Man United,1,-1,7,16:00,0.676923076923077,0.0,0.3,8.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,47,2020-07-26,
2019-20,Georginio Wijnaldum,MID,54,0,0,0,1,0,0,0,0,0,15.6,2,16.2,14,90,0,0,Liverpool,Newcastle,0,1,7,16:00,5.514705882352941,1.6666666666666667,17.566666666666666,26.666666666666668,18.733333333333334,21.0,0.3333333333333333,0.0,1.6666666666666667,,,,,,,,,,,,,,47,2020-07-26,
2019-20,Giovani Lo Celso,MID,73,5,1,0,1,0,0,0,0,0,38.0,19,37.6,24,59,0,0,Tottenham,Crystal Palace,0,0,7,16:00,3.8709677419354835,1.3333333333333333,20.333333333333332,3.0,14.466666666666667,14.0,0.0,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,47,2020-07-26,
